Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Author declarations of interest,Char: Study funding source,Char: Notes
Andrews 1999,1999,PUB,26717820,"<p>Study type: Cluster RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Dental practice</p><p>Study dates: Not reported</p><p>Recruitment method: Letters to dental practices and presentations at local dental societies.</p>","<p>Participants: Dental hygiene patients (N = 633, Avg. age = 36.2, 100% Male)</p><p>Smokeless tobacco product: Chewing tobacco and Snuff</p><p>Proportion using combustible tobacco: 0.7%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Usual dental hygiene visit.&nbsp;</p><p>Provider: Dental hygienist.</p><p>Duration and intensity of support: 1 face-to-face session, average 60 minutes.</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Counselling for dental patients to quit using tobacco, using a 7 component protocol.</p><p>Provider: Dentists and dental hygienists.</p><p>Duration and intensity of support: 1 face-to-face session, average 60 minutes; phone-based contact within 2 weeks of visit to ask if they had read the materials, looked at the video, and either quit or is now willing to set a quit date.</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: Sustained</p><p>Longest follow-up: 12 months</p><p>Biochemical validation: Not done</p>,<p>Not reported</p>,"<p>Preparation of the manuscript was supported in part by Grant #1 RO1 HL48768 from the National Heart, Lung, and Blood Institute.</p>",
Boyle 2004,2004,PUB,26717824,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Community</p><p>Study dates: Not reported</p><p>Recruitment method: Advertisements in local radio and newsletters.</p>","<p>Participants: Community residents (N = 221, Avg. age = 35.7 years, 100% Male)</p><p>Smokeless tobacco product: Chewing tobacco or Moist snuff</p><p>Proportion using combustible tobacco: 0%</p><p>Proportion using products containing areca or betel: 0%</p>",<p>Intervention 1: Smokeless tobacco self-help manual sent through post.&nbsp;</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Smokeless tobacco self-help manual with phone-based counselling.&nbsp;</p><p>Provider: Trained tobacco cessation counsellors.</p><p>Duration and intensity of support: Up to 4 treatment calls designed to assist participants in making a quit attempt. &nbsp;</p><p>Pharmacotherapy: None</p>,<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done</p>,<p>Not reported</p>,<p>Public Health Service Grant CA-74025 from the National Cancer Institute.</p>,
Boyle 2008,2008,PUB,26717826,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Community</p><p>Study dates: 2005-2006</p><p>Recruitment method: Advertisements in local radio and newspapers, mailings to state and local health departments, large employers, and dental hygienists.</p>","<p>Participants: Adults, community residents (N = 406, Avg. age = 39.9 years, 1.7% Female)</p><p>Smokeless tobacco product: Chewing tobacco or Snuff</p><p>Proportion using combustible tobacco: 6.2%</p><p>Proportion using products containing areca or betel: 0%</p>","<p>Intervention 1: Manual-only - 'Enough Snuff: A Guide for Quitting Smokeless Tobacco', a self-help guide sent through post.&nbsp;</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Self-help manual ('Enough Snuff: A Guide for Quitting Smokeless Tobacco') with phone-based counselling.&nbsp;</p><p>Provider: Trained tobacco cessation counsellors.</p><p>Duration and intensity of support: &nbsp;Up to 4 treatment calls designed to assist participants in making a quit attempt, each lasting 10-30 minutes.&nbsp;</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 7 day point prevalence and sustained</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done</p>,<p>None of the authors have any competing interests with ClearWay Minnesota.</p>,"<p>This research was performed at HealthPartners Research Foundation, Bloomington, Minnesota. Any public dissemination of information relating to the grant was made possible by Grant RC-2004-0010 from ClearWay Minnesota.&nbsp;</p>",
Cigrang 2002,2002,PUB,26717829,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Military</p><p>Study dates: 1999-2000</p><p>Recruitment method: Active-duty military personnel proactively contacted by phone after preventive health screening visit.</p>","<p>Participants: Active-duty military personnel (N = 60, Avg. age = 31 years, 100% Male)</p><p>Smokeless tobacco product: Not reported</p><p>Proportion using combustible tobacco: Not reported</p><p>Proportion using products containing areca or betel: 0%</p>","<p>Intervention 1: Usual care - All screened personnel who reported current use of ST were encouraged to consider quitting and provided information on how to sign up to attend an 8-week tobacco cessation class.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Comprehensive Enough Snuff manual for quitting ST and an Enough Snuff video sent through post with phone-based support.</p><p>Provider: Unclear</p><p>Duration and intensity of support: 2 supportive phone calls, lasting 10 minutes.</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done</p>,<p>Not reported</p>,<p>Not reported</p>,
Cummings 1996,1996,PUB,26717831,"<p>Study type: Cluster RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Workplace</p><p>Study dates: 1990-1993</p><p>Recruitment method: Employees at participating workplaces.</p>","<p>Participants: Employees at participating workplaces (N = 1196, Avg. age = 36 years, 100% Male)</p><p>Smokeless tobacco product: Not reported</p><p>Proportion using combustible tobacco: 19.0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Minimal intervention with standard health risk information, e.g. brochures, posted to workplace.&nbsp;</p><p>Provider: N/A</p><p>Duration and intensity of support: Regular, scheduled mailing of print material - 10 mailings; 4 in year 1 and 6 in year 2.</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Stage‐matched ST information (brochures, videos, posters), modules on specific risk factors, organisational interventions aimed at environmental and policy change, e.g. restrictive tobacco policies.&nbsp;</p><p>Provider: Employee advisory board in consultation with project staff.</p><p>Duration and intensity of support: Not reported</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: Point prevalence</p><p>Longest follow-up: 24 months</p><p>Biochemical validation: Not done</p>,<p>Not reported</p>,<p>USA National Cancer Institute.</p>,
Dale 2002,2002,PUB,26717833,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Health centre</p><p>Study dates: Not reported</p><p>Recruitment method: Local advertisements and press releases.</p>","<p>Participants: Adults, ST users (N = 68, Avg. age = 35.8 years in intervention and 37.1 years in control, 1.5% Female)&nbsp;</p><p>Smokeless tobacco product: Chewing tobacco or Snuff</p><p>Proportion using combustible tobacco: Not reported</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: 10-minute behavioural intervention at each visit with placebo.</p><p>Provider: Study assistant</p><p>Duration and intensity of support: 10 minutes at each visit.</p><p>Pharmacotherapy: 12 weeks placebo (one tablet once a day for 3 days, then one twice per day).</p><p>&nbsp;</p><p>Intervention 2: 10-minute behavioural intervention at each visit with Bupropion.</p><p>Provider: Study assistant</p><p>Duration and intensity of support: 10 minutes at each visit.</p><p>Pharmacotherapy: 12 weeks Bupropion SR 150mg by mouth (one tablet once a day for 3 days, then one twice per day).</p>",<p>Definition of abstinence: 7 day point prevalence and sustained</p><p>Longest follow-up: 24 weeks</p><p>Biochemical validation: &nbsp;Urine cotinine &lt;50 ng/ml</p>,<p>Not reported</p>,<p>Not reported</p>,
Dale 2007,2007,PUB,26717835,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Health centre</p><p>Study dates: Not reported</p><p>Recruitment method: Local advertisements and press releases.</p>","<p>Participants: Adults, ST users (N = 225, Avg. age = 38.1 years, 100% Male)</p><p>Smokeless tobacco product: Chewing tobacco or Snuff</p><p>Proportion using combustible tobacco: 1.3%</p><p>Proportion using products containing areca or betel: 0%</p>","<p>Intervention 1: 1-to-1 counselling using manual topics with placebo medication.</p><p>Provider: Study assistant</p><p>Duration and intensity of support: 15 sessions (13 face-to-face, 2 phone-based) over 52 weeks.</p><p>Pharmacotherapy: 12 weeks placebo medication.</p><p>&nbsp;</p><p>Intervention 2: 1-to-1 counselling using manual topics with Bupropion medication.</p><p>Provider: Study assistant</p><p>Duration and intensity of support: 15 sessions (13 face-to-face, 2 phone-based) over 52 weeks.</p><p>Pharmacotherapy: 12 weeks Bupropion SR (150 mg), titrated one tablet by mouth.</p>",<p>Definition of abstinence: 7 day point prevalence and sustained</p><p>Longest follow-up: 52 weeks</p><p>Biochemical validation: Urine cotinine &lt;50 ng/ml</p>,<p>The authors have no conflicts of interest to report.</p>,<p>National Cancer Institute (Grant R01 90884).</p>,
Danaher 2013,2013,PUB,26717840,"<p>Study type: RCT</p><p>Study registration: NCT00680615</p><p>Setting: USA and Canada, Community (Web-based)</p><p>Study dates: 2008-2011</p><p>Recruitment method: Online channels (e.g. Google AdWords AdBrite, YouTube, Facebook), advertisements in newspapers and radio, outreach efforts to professionals in tobacco control agencies and schools.</p>","<p>Participants: 14-25 year-olds, community residents (N = 1716, Avg. age = 20.8 years, 3.5% Female)</p><p>Smokeless tobacco product: Chewing tobacco, Snuff or US 'dip'</p><p>Proportion using combustible tobacco: 13.5%</p><p>Proportion using products containing areca or betel: 0%</p>","<p>Intervention 1: Basic web-based intervention, provided an online ST cessation guide in static text. It included an online version of the 'Enough Snuff' pocket guide for quitting ST.</p><p>Provider: Web-based.</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: The Enhanced web-based condition, provided best-practices ST cessation content using interactive and multimedia features.</p><p>Provider: Web-based.</p><p>Duration and intensity of support: Intervention 'driven' by participant engagement</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 7 day point prevalence&nbsp;</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done</p>,<p>None</p>,<p>National Cancer Institute at the National Institutes of Health (R01-CA118575).</p>,
Danaher 2015a,2015,PUB,26717844,"<p>Study type: Factorial RCT (2x2)</p><p>Study registration: NCT00820495</p><p>Setting: USA, Community (Web-based)</p><p>Study dates: 2008-2011</p><p>Recruitment method: Online marketing campaign and marketing website.</p>","<p>Participants: 25 years and older, community residents (N = 1683, Avg. age = 37.9 years, 2.5% Female)</p><p>Smokeless tobacco product: Chewing tobacco, Snuff, Snus</p><p>Proportion using combustible tobacco: 8.0%</p><p>Proportion using products containing areca or betel: 0%</p>","<p>Intervention 1: Self-help material, sent through post.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None.</p><p>&nbsp;</p><p>Intervention 2: Self-help material, sent through post + Fully-automated, tailored, interactive enhanced web-based smokeless tobacco cessation intervention used in the ChewFree trial.</p><p>Provider: Web-based</p><p>Duration and intensity of support: N/A&nbsp;</p><p>Pharmacotherapy: None.</p><p>&nbsp;</p><p>Intervention 3: Self-help material, sent through post + Proactive calls from the California Tobacco Chewers’ Helpline.</p><p>Provider: Trained counsellors.</p><p>Duration and intensity of support: Up to 4 follow-up calls to review the personalized plan, discuss relapse prevention, and encourage another quit attempt if needed.</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 4: Self-help material, sent through post + Fully-automated, tailored, interactive enhanced web-based smokeless tobacco cessation intervention used in the ChewFree trial + Proactive calls from the California Tobacco Chewers’ Helpline.</p><p>Provider: Web-based and trained counsellors.</p><p>Duration and intensity of support: Up to 4 follow-up calls to review the personalized plan, discuss relapse prevention, and encourage another quit attempt if needed.</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done</p>,<p>None declared</p>,<p>National Cancer Institute of the National Institutes of Health (R01-CA084225).</p>,
Danaher 2015b,2015,PUB,26717848,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Community (Web-based)</p><p>Study dates: 2013</p><p>Recruitment method: Nationwide online marketing.</p>","<p>Participants: Adults, community residents (N = 407, Avg. age = 35.2 years, 2.5% Female)</p><p>Smokeless tobacco product: Chewing tobacco, Snuff, Snus</p><p>Proportion using combustible tobacco: 7.1%</p><p>Proportion using products containing areca or betel: 0%</p>","<p>Intervention 1: MyLastDip, interactive web-based intervention.</p><p>Provider: Web-based.</p><p>Duration and intensity of support: Program content grouped according to three sequential frames: preparing to quit, quitting, and staying quit. If a participant reported a lapse, then the program would provide tailored content on lessons learned and starting over (“retooling”).</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: MyLastDip, interactive web-based intervention with NRT.</p><p>Provider: Web-based.</p><p>Duration and intensity of support: N/A&nbsp;</p><p>Pharmacotherapy: 2 boxes of Nicorette® Lozenges (4mg; 108 lozenges/box) mailed; NRT for 12 weeks, could ask for up to 3 months.</p>",<p>Definition of abstinence: 7 day point prevalence&nbsp;</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done</p>,"<p>Dr. Ebbert has received consulting fees from GlaxoSmithKline and has received research support from Pfizer, Orexigen and JHP outside of the current study. GlaxoSmithKline provided the nicotine lozenges for the study but had no role in the conduct of the study (data collection, management, analysis, and interpretation), in the preparation, review, approval of the manuscript, or in the decision to submit the manuscript for publication.</p>",<p>National Cancer Institute of the National Institutes of Health (R01-CA142952).</p>,
Ebbert 2007,2007,PUB,26717850,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Health centre</p><p>Study dates: 2003-2005</p><p>Recruitment method: Local advertisements and press releases.</p>","<p>Participants: Adults, ST users (N = 42, Avg. age = 34.0-38.0 years, 100% Male)</p><p>Smokeless tobacco product: Snuff</p><p>Proportion using combustible tobacco: 0%</p><p>Proportion using products containing areca or betel: 0%</p>","<p>Intervention 1: Placebo patches with electronic diary to record data, e.g. mood, withdrawal, and adverse events. 3-day in-patient stay, followed by out-patient treatment and follow-up.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: Placebo patches, 8 weeks with taper. Subjects wore 3 patches in weeks 0–4, two in weeks 5-6, one in weeks 7-8.</p><p>&nbsp;</p><p>Intervention 2: Nicotine patches with electronic diary to record data.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A&nbsp;</p><p>Pharmacotherapy: Nicotine patches (21 mg/day), 8 weeks with taper. Subjects wore 3 patches in weeks 0–4, two in weeks 5-6, one in weeks 7-8.</p><p>&nbsp;</p><p>Intervention 3: Nicotine patches with electronic diary to record data.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A&nbsp;</p><p>Pharmacotherapy: Nicotine patches (42 mg/day), 8 weeks with taper. Subjects wore 3 patches in weeks 0–4, two in weeks 5-6, one in weeks 7-8.</p><p>&nbsp;</p><p>Intervention 4: Nicotine patches with electronic diary to record data.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A&nbsp;</p><p>Pharmacotherapy: Nicotine patches (63 mg/day), 8 weeks with taper. Subjects wore 3 patches in weeks 0–4, two in weeks 5-6, one in weeks 7-8.</p>",<p>Definition of abstinence: 7 day point prevalence and sustained</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Urine anabasine &lt;2 ng/ml&nbsp;</p>,<p>Not reported</p>,<p>National Cancer Institute (Grant R01 CA96881).</p>,
Ebbert 2009,2009,PUB,26717853,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Health centre</p><p>Study dates: 2007-2008</p><p>Recruitment method: Local advertisements and press releases.</p>","<p>Participants: Adults, ST users (N = 270, Avg. age = 36.5 years, 2.2% Female)</p><p>Smokeless tobacco product: Chewing tobacco or Snuff</p><p>Proportion using combustible tobacco: 10.7%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Brief behavioural support with placebo lozenges.&nbsp;</p><p>Provider: Not reported</p><p>Duration and intensity of support: 1 face-to-face session, 10 mins length.&nbsp;</p><p>Pharmacotherapy: Placebo lozenges for 12 weeks, tapered use.</p><p>&nbsp;</p><p>Intervention 2: Brief behavioural support with nicotine lozenges.&nbsp;</p><p>Provider: Not reported</p><p>Duration and intensity of support: 1 face-to-face session, 10 mins length.&nbsp;</p><p>Pharmacotherapy: nicotine lozenges (4 mg) for 12 weeks, tapered use.</p>",<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 24 weeks</p><p>Biochemical validation: Urine anabasine &lt; 2 ng/ml&nbsp;</p>,<p>None declared</p>,<p>National Cancer Institute Award (CA121165).</p>,
Ebbert 2010,2010,PUB,26717856,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Health centre</p><p>Study dates: 2008-2009</p><p>Recruitment method: Local advertisements and press releases.</p>","<p>Participants: Adults, ST users (N = 60, Avg. age = placebo: 43.6 years in intervention and 42.4 years in control, 100% Male)</p><p>Smokeless tobacco product: Snuff</p><p>Proportion using combustible tobacco: 7.0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: The assisted self-help intervention (ASH), including a self-help quitting guide (Severson, 1999) and telephone counseling with placebo.&nbsp;</p><p>Provider: Study assistants</p><p>Duration and intensity of support: Counselling calls lasted 5-15 minutes.&nbsp;</p><p>Pharmacotherapy: 12 weeks placebo.</p><p>&nbsp;</p><p>Intervention 2: The assisted self-help intervention (ASH), including a self-help quitting guide (Severson, 1999) and telephone counseling with nicotine lozenges.</p><p>Provider: Study assistants</p><p>Duration and intensity of support: Counselling calls lasted 5-15 minutes.&nbsp;</p><p>Pharmacotherapy: 12 weeks nicotine lozenges (4 mg).</p>",<p>Definition of abstinence: 7 day point prevalence for all tobacco and sustained for ST</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Not done&nbsp;</p>,<p>None to declare.</p>,<p>National Cancer Institute Award (CA 121165).</p>,
Ebbert 2011,2011,PUB,26717858,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Health centre</p><p>Study dates: 2009-2011</p><p>Recruitment method: Not reported</p>","<p>Participants: Clinic outpatients (N = 76, Avg. age = 40.7 years in intervention and 41.0 years in control, 100% Male)</p><p>Smokeless tobacco product: ST cans/pouches</p><p>Proportion using combustible tobacco: 6.6%</p><p>Proportion using products containing areca or betel: 0%</p>","<p>Intervention 1: Standardised behavioural counselling and treatment manual with placebo tablets.</p><p>Provider: Study assistants</p><p>Duration and intensity of support: 4 x 10 minutes face-to-face sessions.</p><p>Pharmacotherapy: 12 weeks placebo.</p><p>&nbsp;</p><p>Intervention 2: Standardised behavioural counselling and treatment manual with Varenicline.</p><p>Provider: Study assistants</p><p>Duration and intensity of support: 4 x 10 minutes face-to-face sessions.</p><p>Pharmacotherapy: 12 weeks Varenicline, 1 mg twice daily.</p>",<p>Definition of abstinence: 7 day point prevalence and sustained</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Urine cotinine &lt;50 ng/ml</p>,<p>None declared.</p>,<p>National Cancer Institute (Grant CA132621).</p>,
Ebbert 2013a,2013,PUB,26717860,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Community</p><p>Study dates: 2010-2012</p><p>Recruitment method: Marketing campaign.</p>","<p>Participants: Community residents (N = 81, Avg. age = 37.8 years in intervention and 37.5 years in control, 3.8% Female)</p><p>Smokeless tobacco product: Chewing tobacco and Snuff</p><p>Proportion using combustible tobacco: 8.6%</p><p>Proportion using products containing areca or betel: 0%</p>",<p>Intervention 1: Face-to-face and written guidance on ST reduction and diary with tobacco-free snuff.</p><p>Provider: Not reported</p><p>Duration and intensity of support: 8 weekly and 2 fortnightly face-to-face sessions over 12 weeks.</p><p>Pharmacotherapy: Upto 12 weeks tobacco-free snuff.</p><p>&nbsp;</p><p>Intervention 2: Face-to-face and written guidance on ST reduction and diary with nicotine lozenges.</p><p>Provider: Not reported</p><p>Duration and intensity of support: 8 weekly and 2 fortnightly face-to-face sessions over 12 weeks.</p><p>Pharmacotherapy: Upto 12 weeks nicotine lozenges (4mg).</p>,<p>Definition of abstinence: Not reported</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Urine anabasine and anatabine &lt;2 ng/ml</p>,"<p>Dr. Jon O. Ebbert has received consulting fees from GlaxoSmithKline, manufacturer of the nicotine lozenge.</p>","<p>The clinical trial was supported by the National Institutes of Health (R01 CA121165 to Jon O. Ebbert, MD). Chemical analyses were performed by the Clinical Pharmacology Laboratory at the University of California, San Francisco with instrumentation and analytical chemistry support from the National Institutes of Health (P30 DA012393 &amp; S10 RR026437 to Neal L. Benowitz, MD).</p>",
