Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Author declarations of interest,Char: Study funding source,Char: Notes
Ebbert 2013b,2013,PUB,26717862,"<p>Study type: RCT</p><p>Study registration: NCT00939029</p><p>Setting: USA, Health centre</p><p>Study dates: 2010-2012</p><p>Recruitment method: Local advertisements and press releases.</p>","<p>Participants: Adults, Community residents (N = 52, Avg. age = 39.2 years in intervention and 35.3 years in control, 100% Male)</p><p>Smokeless tobacco product: ST cans/pouches</p><p>Proportion using combustible tobacco: 0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Counselling sessions and treatment manual with placebo patches.</p><p>Provider: Research staff</p><p>Duration and intensity of support: 4 face-to-face sessions, 10-15 minutes length, over 8 weeks.</p><p>Pharmacotherapy: 2 placebo NRT patches (Weeks 1-6), 1 placebo patch (Weeks 7-8).</p><p>&nbsp;</p><p>Intervention 2: Counselling sessions and treatment manual with NRT patches.</p><p>Provider: Research staff</p><p>Duration and intensity of support: 4 face-to-face sessions, 10-15 minutes length, over 8 weeks.</p><p>Pharmacotherapy: 2 high-dose (42mg/day) nicotine patches (Weeks 1-6), 1 high-dose (21mg/day) nicotine patch &nbsp;(Weeks 7-8).</p>",<p>Definition of abstinence: 7 day point prevalence and sustained</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Urine anabasine &lt;2 ng/ml</p>,<p>JOE reports a grant from NIH during the conduct of the study. JOE also received grants from Pfizer and personal fees from GlaxoSmithKline for studies not related to the study reported. RDH reports grants from NIH and Pfizer outside the submitted work. ITC and DRS report no conflicts of interest.</p>,<p>National Institutes of Health (Grant CA 140125).</p>,
Fagerstrom 2010,2010,PUB,26717865,"<p>Study type: RCT</p><p>Study registration: NCT00717093</p><p>Setting: Norway and Sweden, Health centre</p><p>Study dates: 2008-2010</p><p>Recruitment method: Newspaper advertisements.&nbsp;</p>","<p>Participants: Adults, ST users (N = 431, Avg. age = 43.9 years, 10% Female)</p><p>Smokeless tobacco product: Snus</p><p>Proportion using combustible tobacco: 0%</p><p>Proportion using products containing areca or betel: 0%</p>","<p>Intervention 1: Brief behavioural support ('tips &amp; hints') with placebo tablets.</p><p>Provider: Investigator led, otherwise not stated.</p><p>Duration and intensity of support: Not reported</p><p>Pharmacotherapy: Placebo tablets - 12 weeks, Week 1 titrated dose, then daily 1 mg to Week 12.</p><p>&nbsp;</p><p>Intervention 2: Brief behavioural support ('tips &amp; hints') with Varenicline.</p><p>Provider: Investigator led, otherwise not stated.</p><p>Duration and intensity of support: Not reported</p><p>Pharmacotherapy: Varenicline tablets - 12 weeks, Week 1 titrated dose, then 1 mg twice daily to Week 12.</p>",<p>Definition of abstinence: Sustained</p><p>Longest follow-up: 26 weeks</p><p>Biochemical validation: Salivary cotinine &gt;15 ng/ml</p>,"<p>All authors have completed the Unified Competing Interest form at www.icmje.org/coi_discolsure.pdf (available on request from the corresponding author) and declare: the institutions of ST and HG received support from Pfizer for the clinical trial; KF, ST, and HG have specified relationships with Pfizer, who might have an interest in the submitted work; MMet and MMes are employees of, and stockholders in, Pfizer.</p>","<p>This work was supported by Pfizer. KF, HG, and ST did not receive any financial support with respect to the writing or development of this manuscript. Role of the study sponsor: Pfizer, the study sponsor, was involved in study design; in the collection, analysis, and interpretation of data; in the writing of the report; and in the decision to submit the article for publication.</p>",
Gansky 2002,2002,PUB,26717871,"<p>Study type: Cluster RCT</p><p>Study registration: Not reported</p><p>Setting: USA, High school (Rural)</p><p>Study dates: 1996-1998</p><p>Recruitment method: School principals contacted to send consent forms to all parents of baseball athletes.</p>","<p>Participants: High-school baseball playing students (N = 307, Avg. age = Not reported, 100% Male)</p><p>Smokeless tobacco product: Chewing tobacco or US 'dip'</p><p>Proportion using combustible tobacco: 11.0%</p><p>Proportion using products containing areca or betel: 0%</p>","<p>Intervention 1: No treatment.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Peer-led session including a presentration, video, and discussion; oral cancer screening and brief cessation counselling, followed by follow-up call on quit day.</p><p>Provider: Peers, unclear for screening and counselling.</p><p>Duration and intensity of support: 1x1 hour face-to-face peer session; 15 min oral screening and breif counselling; 5-10 minute follow-up call.</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: Sustained</p><p>Longest follow-up: 24 months</p><p>Biochemical validation: Not done</p>,<p>Not reported</p>,"<p>Tobacco Surtax Fund of the State of California (Grant 4RT-0068) through the Tobacco-Related Disease Research Program of the University California, and the National Cancer Institute (Grant CA 67654).</p>",
Gansky 2005,2005,PUB,26717875,"<p>Study type: Cluster RCT</p><p>Study registration: Not reported</p><p>Setting: USA, College</p><p>Study dates: 1999-2000</p><p>Recruitment method: Contacting certified athletic trainers (ATCs) at colleges.</p>","<p>Participants: Collegiate baseball athletes (N = 637, Avg. age = Not reported; 100% Male)</p><p>Smokeless tobacco product: Chewing tobacco, Snuff, Spit</p><p>Proportion using combustible tobacco: 66.0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Usual anti-tobacco education offered at their colleges.</p><p>Provider: Not reported</p><p>Duration and intensity of support: Not reported</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Oral cancer screening with feedback and brief<br>counselling, athletic trainer follow-up support, and a peer-led educational baseball team meeting.</p><p>Provider: Dentist or dental hygienist for oral screening and counselling, certified athletic trainer for follow-up support, and peer leader for the education session.</p><p>Duration and intensity of support: 1 oral screening and counselling session (10-15 min); trainer follow-up on scheduled quit date and in 3 group booster<br>sessions scheduled 1 week apart - trainers referred athletes wishing more intensive support to tobacco cessation counselors; 1 interactive educational meeting (50-60 min); all face-to-face sessions.</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 30 day point prevalence</p><p>Longest follow-up: 12 months</p><p>Biochemical validation: Not done</p>,<p>Not reported</p>,<p>Tobacco Surtax Fund of the State of California (Grant 4RT-0068) through the Tobacco-Related Disease Research Program of the University of California.&nbsp;</p>,
Hatsukami 1996,1996,PUB,26717878,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Community</p><p>Study dates: Not reported</p><p>Recruitment method: Advertisements in newspapers and university campus.&nbsp;</p>","<p>Participants: Community residents (N = 210, Avg. age = 30.5 years, 100% Male)</p><p>Smokeless tobacco product: ST tins</p><p>Proportion using combustible tobacco: 0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Minimal contact and treatment manual with placebo gum.</p><p>Provider: Registered nurse</p><p>Duration and intensity of support: 4 inividual face-to-face sessions over 10 weeks, each 15 min.</p><p>Pharmacotherapy: Placebo gum.</p><p>&nbsp;</p><p>Intervention 2: Group behavioural therapy with placebo gum.</p><p>Provider: Trained therapist</p><p>Duration and intensity of support: 8 group face-to-face sessions over 10 weeks, each 45-60 min.</p><p>Pharmacotherapy: Placebo gum.</p><p>&nbsp;</p><p>Intervention 3: Minimal contact and treatment manual with nicotine gum (2mg).&nbsp;</p><p>Provider: Registered nurse</p><p>Duration and intensity of support: 4 inividual face-to-face sessions over 10 weeks, each 15 min.</p><p>Pharmacotherapy: NRT gum (2mg) up to 3 months - at least six pieces of gum each day for a period of 1 month, then tapering.</p><p>&nbsp;</p><p>Intervention 4: Group behavioural therapy with nicotine gum (2mg).&nbsp;</p><p>Provider: Trained therapist</p><p>Duration and intensity of support: 8 group face-to-face sessions over 10 weeks, each 45-60 min.</p><p>Pharmacotherapy: NRT gum (2mg) up to 3 months - at least six pieces of gum each day for a period of 1 month, then tapering.</p>",<p>Definition of abstinence: Not reported</p><p>Longest follow-up: 12 months</p><p>Biochemical validation: Salivary cotinine &lt;20 ng/ml</p>,<p>Not reported</p>,<p>National Institutes of Health (Grant R01 DA0513).</p>,
Hatsukami 2000,2000,PUB,26717880,"<p>Study type: Factorial RCT (2x2)</p><p>Study registration: Not reported</p><p>Setting: USA, Community</p><p>Study dates: Not reported</p><p>Recruitment method: Newspaper advertising</p>","<p>Participants: Community residents (N = 402, Avg. age = 30.8 years, 1.0% Female)</p><p>Smokeless tobacco product: Spit tobacco</p><p>Proportion using combustible tobacco: 0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Individual counselling and treatment manual, with placebo patch.</p><p>Provider: Trained therapist</p><p>Duration and intensity of support: 8 face-to-face counselling sessions, 10 min long, over 10 weeks.</p><p>Pharmacotherapy: Placebo patch for 10 weeks.</p><p>&nbsp;</p><p>Intervention 2: Individual counselling and treatment manual, with placebo patch and mint snuff.&nbsp;</p><p>Provider: Trained therapist</p><p>Duration and intensity of support: 8 face-to-face counselling sessions, 10 min long, over 10 weeks.</p><p>Pharmacotherapy: Placebo patch and mint snuff (3 tins per week) for 10 weeks.</p><p>&nbsp;</p><p>Intervention 3: Individual counselling and treatment manual, with NRT patch.&nbsp;</p><p>Provider: Trained therapist</p><p>Duration and intensity of support: 8 face-to-face counselling sessions, 10 min long, over 10 weeks.</p><p>Pharmacotherapy: NRT patch for 10 weeks.</p><p>&nbsp;</p><p>Intervention 4: Individual counselling and treatment manual, with NRT patch and mint snuff.&nbsp;</p><p>Provider: Trained therapist</p><p>Duration and intensity of support: 8 face-to-face counselling sessions, 10 min long, over 10 weeks.</p><p>Pharmacotherapy: NRT patch and mint snuff (3 tins per week) for 10 weeks.</p>",<p>Definition of abstinence: Unclear</p><p>Longest follow-up: 62 weeks</p><p>Biochemical validation: &nbsp;Urine anabasine or anatabine &lt;2 ng/ml and cotinine &lt;15 ng/ml</p>,<p>Pharmaceuticals supplied by SmithKline Beecham and Oregon Mint Snuff.&nbsp;</p>,<p>National Institutes of Health (Grant R01 DA0513).</p>,
Howard-Pitney 1999,1999,PUB,26717882,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Community</p><p>Study dates: Not reported</p><p>Recruitment method: Television, radio, and newspaper advertisements, recruitment brochures and flyers at community locations, and word of mouth.</p>","<p>Participants: Adults, community residents (N = 410, Avg. age = 36.3 years in intervention and 34.7 years in control, 1.0% Female)</p><p>Smokeless tobacco product: Chewing tobacco or Snuff</p><p>Proportion using combustible tobacco: 7.0% in intervention and 3.0% in control</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Behavioural treatment included meeting with a pharmacist, written self-help materials, and telephone support.&nbsp;</p><p>Provider: Pharmacist</p><p>Duration and intensity of support: 2 pharmacy visits, 2 support calls and self-help materials.</p><p>Pharmacotherapy: Placebo patch for 6 weeks.</p><p>&nbsp;</p><p>Intervention 2: Behavioural treatment included meeting with a pharmacist, written self-help materials, and telephone support.&nbsp;</p><p>Provider: Pharmacist</p><p>Duration and intensity of support: 2 pharmacy visits, 2 support calls and self-help materials.</p><p>Pharmacotherapy: NRT patch for 6 weeks (15mg patches).</p>",<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Salivary cotinine &lt; 20 ng/ml</p>,<p>Not reported</p>,"<p>National Institution of Health Public Health Service Grant R01 CA64285 from the National Cancer Institution and a drug suppply agreement with Phaemacia and Upjohn AB (Helsingborg, Sweden).</p>",
Kumbhalwar 2022,2022,PUB,26717884,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: India, Dental practice</p><p>Study dates: Not reported</p><p>Recruitment method: ST users at dental hospital.</p>","<p>Participants: ST users at dental hospital (N = 200, Avg. age = 36.6 years in intervention and 27.2 years in control, &nbsp;Female 12.0% in intervention and 17.0% in control)</p><p>Smokeless tobacco product: Not reported</p><p>Proportion using combustible tobacco: 0%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Brief advice, and provided with a toll-free national tobacco quitline number.</p><p>Provider: Unclear</p><p>Duration and intensity of support: 1 face-to-face session, 5-7 min.</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Behavioral counseling based on 5 A’s and 5 R’s, and motivational interviewing. After the quit date, the intervention was focused on avoiding relapse</p><p>Provider: Trained tobacco cessation counsellors.</p><p>Duration and intensity of support: Face-to-face counselling session (15-20 min) at baseline with phone-based follow-up.&nbsp;</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: Point prevalence</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Urine cotinine &lt;200 mg/ml</p>,"<p>In compliance with the ICMJE uniform disclosure form, all authors declare the following: Payment/services info: This project was supported by the Narotam Sekhsaria Foundation (NSF) and received a grant of 30,000/-INR (Grant Number: CORPH19037594326). Financial relationships: All authors have declared that they have no financial relationships at present or within the previous three years with any organizations that might have an interest in the submitted work. Other relationships: All authors have declared that there are no other relationships or activities that could appear to have influenced the submitted work.</p>","<p>This project was supported by the Narotam Sekhsaria Foundation (NSF) and received a grant of 30,000/- INR (Grant Number: CORPH19037594326).</p>",
Mall 2021,2021,PUB,26717886,"<p>Study type: Cluster RCT</p><p>Study registration: Not reported</p><p>Setting: India, Community (Urban slum)</p><p>Study dates: 2018-2019</p><p>Recruitment method: House-to-house visits in selected slums.</p>","<p>Participants: Adults, slum residents (N = 400, Avg. age = 37.7 years, Majority male participants)</p><p>Smokeless tobacco product: Not reported</p><p>Proportion using combustible tobacco: 1.3%</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: No treatment - Health intervention was given in the control group at the end of the study using the same materials and methods.</p><p>Provider: N/A</p><p>Duration and intensity of support: N/A</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Two-stage intervention - Frist included health education, role-play, and a detailed plan as to how to quit tobacco. Second included experience sharing of group members in quitting tobacco, withdrawal symptoms, and measures to overcome them.&nbsp;</p><p>Provider: Unclear</p><p>Duration and intensity of support: Session one (face-to-face): 45 minutes, &nbsp;as soon as convenient following baseline data collection. Session two (face-to-face): 30 minutes, 11 months later.&nbsp;</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 12 months</p><p>Biochemical validation: Not done</p>,<p>There are no conflicts of interest.</p>,<p>Nil</p>,
Noonan 2020,2020,PUB,26717888,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Community (Rural)</p><p>Study dates: Not reported</p><p>Recruitment method: Letters through primary care clinics, and social media.</p>","<p>Participants: Community residents (N = 98, Avg. age = 31.0 years, 1.1% Female)</p><p>Smokeless tobacco product: Chews/dips</p><p>Proportion using combustible tobacco: Not reported</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Text-message support.&nbsp;</p><p>Provider: N/A</p><p>Duration and intensity of support: 4 weeks; participants received two messages a day during weeks 1 and 4, and up to three a day during weeks 2 and 3.</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Text-messages supporting gradual reduction of tobacco. Week 1: participants chew as usual and text “s” every time; Over the next three weeks, reduced by 1/3 each week down to zero use. Those with a baseline mean of 10 or more uses per day offered an extra reduction week. The last day of program was considered the quit date.</p><p>Provider: N/A</p><p>Duration and intensity of support: 4 weeks; participants received two messages a day during weeks 1 and 4, and up to three a day during weeks 2 and 3.</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: NicAlert semi-quantitative strips &lt; 10 ng/mL</p>,<p>All authors declare no conflict of interests.</p>,<p>Not reported</p>,
Patel 2020,2020,PUB,26717891,"<p>Study type: RCT</p><p>Study registration: Not reported</p><p>Setting: India, Community (Rural)</p><p>Study dates: Not reported</p><p>Recruitment method: Oral screening.</p>","<p>Participants: 12-18 year-olds, community residents (N = 72, Age-range = 12-18 years)</p><p>Smokeless tobacco product: Scented tobacco mixture (Raag/Paan Villas), Betel nut mixture (Karamchand/Rajnigandha), Zarda</p><p>Proportion using combustible tobacco: Not reported</p><p>Proportion using products containing areca or betel: 14.5%</p>","<p>Intervention 1: Group motivational lecture on the risks of tobacco use, using audio-visual aids.&nbsp;</p><p>Provider: Primary investigator</p><p>Duration and intensity of support: 1 face-to-face session.</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Individuliased patient-centred motivational counselling, with counselling for parents on risks of tobacco.</p><p>Provider: Primary investigator</p><p>Duration and intensity of support: 1 face-to-face session.</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: Not reported</p><p>Longest follow-up: 9 months</p><p>Biochemical validation: Not done</p>,<p>There are no conflicts of interest.</p>,<p>Nil</p>,
Patten 2014,2014,PUB,26717893,"<p>Study type: Cluster RCT</p><p>Study registration: Not reported</p><p>Setting: USA, Community</p><p>Study dates: Not reported</p><p>Recruitment method: Flyers at community venues.</p>","<p>Participants: 12-17 year-olds, community residents (N = 68, Avg. age = 14.4 years, 53.0% Female)</p><p>Smokeless tobacco product: Alaskan Iqmik, Commercial chew</p><p>Proportion using combustible tobacco: Not reported</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intervention 1: Brief advice along with &nbsp;self-help pamphlets, reading materials, or a referral.&nbsp;</p><p>Provider: Not reported</p><p>Duration and intensity of support: 1 face-to-face session.</p><p>Pharmacotherapy: None</p><p>&nbsp;</p><p>Intervention 2: Group counselling program.</p><p>Provider: Three to six trained counsellors staffed each program, depending on the group size. Six teen advisors (three males and three females) and three elder speakers (two males and one female) also attended the program.</p><p>Duration and intensity of support: Group intervention program was held on a weekend with two overnight stays and scheduled within 1 month of study enrollment. Duration of counselling was 8 hours total.&nbsp;</p><p>Pharmacotherapy: None</p>",<p>Definition of abstinence: 7 day point prevalence</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: Salivary cotinine &lt;15 ng/ml</p>,<p>None declared.</p>,<p>National Institutes of Health and National Institute on Drug Abuse (R01 DA025156).</p>,
Rasool 2024,2024,PUB,26717895,"<p>Study type: RCT</p><p>Study registration: ISRCTN18072109</p><p>Setting: Pakistan, dental hospitals</p><p>Study dates: 2022-2023</p><p>Recruitment method: participants identified by dentists during initial oral examination, discussion and invitation to join study made by study team.</p>","<p>Participants: Patients attending one of three specialist outpatient clinics (N = 100; mean age = 41.3 years; 1 (1%) female; motivation not reported; average pouches weekly = 5.7, average daily frequency = 17.0; FTND-ST mean = 6.1)</p><p>Smokeless tobacco product: Naswar</p><p>Proportion using combustible tobacco: 20% smoking cigarettes occasionally</p><p>Proportion using products containing areca or betel: Not reported</p>","<p>Intevervention: BISCA ('behaviour support for ST users of South Asian origin'). Three sessions delivered face-to-face by trained dentists over three weeks. Duration could be up to 2 hours, but actual reported total duration under 1 hour.</p><p>Control: written self-help material - booklet provided by trained dentist</p>",<p>Definition of abstinence: Not reported</p><p>Longest follow-up: 6 months</p><p>Biochemical validation: saliva cotinine - cutoff not stated</p>,"<p>""The authors affirm that they have no competing interests""</p>","<p>""Funded by a 'faculty research grant', Khyber Medical University, Pakistan.""</p>",
